decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
21.0917,-86.6832,Lutjanus kasmira,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5481,32.704,Ostracion meleagris,2012-12-24T12:41Z,2012-12-24T00:00:00,7.8
20.6289,-156.496,,2009-02-24T08:00Z,2009-02-24T00:00:00,9.145
21.8272,-159.479,Labroides phthirophagus,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
20.6914,-86.9109,Acanthostracion quadricornis,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
21.0917,-86.6832,Symphorichthys spilurus,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
-27.5481,32.704,Eretmochelys imbricata,2012-12-24T12:41Z,2012-12-24T00:00:00,7.8
20.6289,-156.496,,2009-02-24T08:00Z,2009-02-24T00:00:00,9.145
21.8272,-159.479,Thalassoma duperrey,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
20.6914,-86.9109,Lactophrys bicaudalis,2012-12-27T09:00Z,2012-12-27T00:00:00,13.0
-27.5276,32.6859,Amphitretus pelagicus,2012-12-24T10:03Z,2012-12-24T00:00:00,10.55
21.0917,-86.6832,Lutjanus fulgens,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
20.6289,-156.496,Diproctacanthus xanthurus,2009-02-24T08:00Z,2009-02-24T00:00:00,9.145
21.8272,-159.479,Apolemichthys arcuatus,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
-27.5276,32.6859,Taeniura lymma,2012-12-24T10:03Z,2012-12-24T00:00:00,10.55
20.6946,-156.451,Cantherhines dumerilii,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
20.6289,-156.496,Histrio histrio,2009-02-24T08:00Z,2009-02-24T00:00:00,9.145
21.0917,-86.6832,Lutjanus goldiei,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
21.8272,-159.479,Chaetodon multicinctus,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
-27.5276,32.6859,Gymnothorax flavimarginatus,2012-12-24T10:03Z,2012-12-24T00:00:00,10.55
20.6946,-156.451,Ostracion meleagris,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
21.0917,-86.6832,Lutjanus ehrenbergii,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
20.7329,-156.906,,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
21.8272,-159.479,Lutjanus kasmira,2012-04-30T00:56Z,2012-04-30T00:00:00,9.3
-27.5276,32.6859,Gymnothorax nudivomer,2012-12-24T10:03Z,2012-12-24T00:00:00,10.55
20.6946,-156.451,Triaenodon obesus,2009-02-24T07:00Z,2009-02-24T00:00:00,6.1
21.0917,-86.6832,Myliobatis aquila,2009-12-28T11:00Z,2009-12-28T00:00:00,13.715
20.7329,-156.906,Acanthaster planci,2010-06-19T08:00Z,2010-06-19T00:00:00,7.625
