scientificName,taxonKey,Vernacular Names List,commonName
"Homarus americanus H.Milne Edwards, 1837",5972004,"['American Lobster', 'American lobster', 'American lobster', 'American lobster', 'American lobster', 'Amerikansk hummer', 'Blue Crab', 'Blue crab', 'Homard américain (Le), Homard canadien (Le)', 'American Lobster', 'American Lobster', 'American lobster', 'American lobster', 'amerikahummar', 'amerikahummer', 'amerikansk hummer', 'amerikansk hummer', 'American Clawed Lobster', 'American clawed lobster', 'American clawed lobster']",American Lobster
"Pollachius virens (Linnaeus, 1758)",2415861,"['American Pollack', 'American pollack', 'American pollack', 'Bacalao', 'Bacalao', 'Baddock', 'Badejo', 'Badejo', 'Billet', 'Billet', 'Billet', 'Blackjack', 'Blaufisch', 'Blaufisch', 'Bloggan', 'Bláseiður', 'Carbonero', 'Carbonero', 'Carbonero(=Colín)', 'Chwitlyn glas']",Pollock
"Cancer pagurus Linnaeus, 1758",2222085,"['Edible Crab', 'European edible crab', 'Krank loar, Krank saoz', 'Noordzeekrab', 'Samarra', 'Taschenkrebs', 'Taschenkrebs', 'Taskekrabbe', ""Tourteau (Le), Tourteau commun (Le), Crabe-dormeur (Le), Dormeur (Le), Endormi (L'), Bourse (La), Chancre de drague (Le), Clos-poing (Le), Crabe de lLa (Le), Crabe franche (La), Dormant (Le), Houvet (Le), Odet (L'), Ouvais (L'), Pâte (La), Poinclos (Le), Poing-clos (Le), Poupart (Le), Taureau (Le)"", 'buey', 'crabe-dormeur', 'dormeur', 'edible crab', 'edible crab', 'grote krab', 'grote noordzeekrab', 'hoofdkrab', 'krabbtaska', 'rock crab', 'sapateira']",Edible Crab
"Neotrygon kuhlii (Müller & Henle, 1841)",2419592,"['Ali', 'Anin', 'Ble-spotted stingaree', 'Ble-spotted stingray', 'Bloukol-pylstert', 'Blue spotted sting ray', 'Blue spotted stingray', 'Blue spotted stingray', 'Blue-spotted maskray', 'Blue-spotted maskray', 'Blue-spotted maskray', 'Blue-spotted stingaree', 'Blue-spotted stingray', 'Blue-spotted stingray', 'Blue-spotted stingray', 'Blue-spotted stingray', 'Bluespotted maskray', 'Bluespotted maskray', 'Bluespotted stingray', 'Bluespotted stingray']",Blue-spotted stingray
"Macropodia rostrata (Linnaeus, 1761)",5178697,"['Gespensterkrabbe', 'Gespensterkrabbe', 'Gespenstkrabbe', 'Langbeinige Spinnenkrabbe', 'Long-legged Spider Crab', 'Macropode (Le), Macropode à rostre (Le)', 'Stankelbenskrabbe', 'gewone hooiwagenkrab', 'hooiwagenkrab', 'long legged spider crab', 'long-legged spider crab', 'macropode', 'stankelbeinkrabbe', 'stankelbenkrabbe', 'strankelbenskrabbe', 'Gewone hooiwagenkrab', 'gewone hooiwagenkrab', 'långnosig spindelkrabba', 'stankelbeinkrabbe', 'stankelbenkrabbe']",Long-legged spider crab
"Conger conger (Linnaeus, 1758)",2403490,"['Almindelig havål', 'Almindelig havål', 'An eascann choncair', 'An eascann choncair', 'Anguille de mer', 'Anguille de mer', 'Anguille de mer', 'Arunco', 'Astan-varrey', 'Black eel', 'Bruncu', 'Brunu de scheuggio', 'Conger', 'Conger', 'Conger', 'Conger', 'Conger', 'Conger', 'Conger eel', 'Conger eel']",Conger eel
"Suberites ficus (Johnston, 1842)",2251188,"['Feigenschwamm', 'Feigenschwamm', 'Figensvamp', 'Korkschwamm', 'Korkschwamm', 'Orange sponge', 'Wandering', 'fig sponge', 'fig sponge', 'orange fig horny sponge', 'sea orange', 'vijgspons', 'éponge figuier', 'Пробковая губка суберитес фикус', 'ツミイレカイメン', 'Vijgspons', 'vijgspons', 'Feigenschwamm', 'Korkschwamm', 'Orange sponge']",Fig sponge
"Luidia ciliaris (Philippi, 1837)",2270661,"['Seven-armed Starfish', 'sjuarmad sprödstjärna', 'sjuarmad sprödstjärna', 'sjuarmad sprödstjärna', 'sjuarmsjøstjerne', 'sjuarmsjøstjerne', 'sjuarmad sprödstjärna', 'sjuarmsjøstjerne', 'sjuarmsjøstjerne', 'Seven-armed starfish', 'sjuarmad sprödstjärna', 'sjuarmsjøstjerne', 'sjuarmsjøstjerne']",Seven-armed Starfish
"Anguilla anguilla (Linnaeus, 1758)",5212973,"['Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aal', 'Aalpricken', 'Ahlen', 'Ahlen', 'Ambidda', 'Ambidduna', 'An eascann', 'An eascann', 'Anchidda']",European eel
"Scyliorhinus canicula (Linnaeus, 1758)",2418684,"['An fíogach beag', 'An fíogach beag', 'Attaredda', 'Blin´ hey', 'Blin´ lizzie', 'Breka', 'Breka', 'Cacciottiello', 'Cacciuni', 'Cacciuottolo', 'Cagnotiello', 'Cagnulu', 'Canicchie', 'Cat', 'Cat', 'Catarouquiera', 'Catarouquiera', 'Catarousse', 'Catarousse', 'Cattuzzu']",Dogfish
