scientificName,taxonKey
"Plectropomus laevis (Lacepède, 1801)",5210141
"Epinephelus striatus (Bloch, 1792)",2388300
"Ophiodon elongatus Girard, 1854",2336521
"Ophiothrix fragilis (Abildgaard, 1789)",5187835
"Scarus rubroviolaceus Bleeker, 1847",2393790
"Corythoichthys flavofasciatus (Rüppell, 1838)",2333138
"Gramma loreto Poey, 1868",2380558
"Holothuria impatiens (Forsskål, 1775)",2279182
"Citharichthys stampflii (Steindachner, 1894)",2408728
"Carangoides Bleeker, 1851",2390889
"Halichoerus grypus (Fabricius, 1791)",2434806
"Zanclus cornutus (Linnaeus, 1758)",2374663
"Gymnothorax prasinus (Richardson, 1848)",2404101
"Sepioteuthis sepioidea (Blainville, 1823)",2290426
"Pomadasys striatus (Gilchrist & Thompson, 1908)",2382922
"Enteroctopus dofleini (Wülker, 1910)",2289485
"Chlorurus sordidus (Forsskål, 1775)",5211134
"Epizoanthus scotinus Wood, 1957",2258086
"Paracanthurus hepatus (Linnaeus, 1766)",2379534
"Eunicella verrucosa (Pallas, 1766)",2263967
"Centrolabrus trutta (Lowe, 1834)",2383714
"Hipposcarus longiceps (Valenciennes, 1840)",2393846
"Rhynchocinetes durbanensis Gordon, 1936",2222520
"Pseudopterogorgia elisabethae Bayer, 1961",2263927
"Lutjanus fulgens (Valenciennes, 1830)",2384893
"Discosoma sanctithomae (Duchassaing & Michelotti, 1860)",5184847
"Cephalopholis argus Schneider, 1801",2388891
"Gymnosarda unicolor (Rüppell, 1836)",2374086
"Thalassoma quinquevittatum (Lay & Bennett, 1839)",2384474
"Alburnus alburnus (Linnaeus, 1758)",2362925
"Dasyatis marmorata (Steindachner, 1892)",2419477
"Cyphoma gibbosum (Linnaeus, 1758)",5192687
"Abudefduf bengalensis (Bloch, 1787)",2398657
"Stenorhynchus seticornis (Herbst, 1788)",5178699
"Carcharhinus falciformis (Müller & Henle, 1839)",2418095
"Dasyatis akajei (Müller & Henle, 1841)",2419518
"Heniochus monoceros Cuvier, 1831",2385719
"Rutilus rutilus (Linnaeus, 1758)",2359706
"Abudefduf luridus (Cuvier, 1830)",2398694
"Batrachoides liberiensis (Steindachner, 1867)",5203933
"Cantherhines macrocerus (Hollard, 1853)",2406957
"Elysia crispata Mörch, 1863",5192081
"Parablennius marmoreus (Poey, 1876)",2395741
"Chromodoris fidelis (Kelaart, 1858)",4360027
"Phyllidia ocellata Cuvier, 1804",8148274
"Spirobranchus giganteus (Pallas, 1766)",5199648
"Myripristis berndti Jordan & Evermann, 1903",2357002
"Aurelia labiata Chamisso & Eysenhardt, 1821",5185432
"Synodus saurus (Linnaeus, 1758)",5212655
"Cephalopholis formosa (Shaw, 1812)",2388839
"Chaetodon ephippium Cuvier, 1831",2385324
"Lagocephalus guentheri Miranda Ribeiro, 1915",2407748
"Carangoides armatus (Rüppell, 1830)",9787698
"Lutjanus guttatus (Steindachner, 1869)",2385124
"Trachyrhamphus bicoarctatus (Bleeker, 1857)",2333029
"Xanthichthys caeruleolineatus Randall, Matsuura & Zama, 1978",2407049
"Neoniphon marianus (Cuvier, 1829)",5204754
"Pagurus annulipes (Stimpson, 1860)",2224240
"Pygoplites diacanthus (Boddaert, 1772)",2396596
"Echidna catenata (Bloch, 1795)",5213083
"Calamus pennatula Guichenot, 1868",5211001
Doryrhamphus excisus excisus,6165970
"Oreaster reticulatus (Linnaeus, 1758)",2272969
"Sargocentron melanospilos (Bleeker, 1858)",2356792
"Cyprinus carpio Linnaeus, 1758",4286975
"Eledone cirrhosa (Lamarck, 1798)",2289348
"Pseudobalistes flavimarginatus (Rüppell, 1829)",2407181
"Lutjanus apodus (Walbaum, 1792)",2384922
"Heptranchias perlo (Bonnaterre, 1788)",2420586
"Chromis scotti Emery, 1968",5212188
"Amphiprion chrysopterus Cuvier, 1830",5212076
"Balistes capriscus Gmelin, 1789",2407107
"Echinus esculentus Linnaeus, 1758",5188139
