scientificName,taxonKey,Common Name
"Muraena helena Linnaeus, 1758",2404329,Mediterranean moray
"Anguilla rostrata (Lesueur, 1817)",5212956,American eel
"Cliona celata Grant, 1826",5183631,boring sponge
"Lutjanus campechanus (Poey, 1860)",2384865,Bream
"Pterois antennata (Bloch, 1787)",2334443,Broadbarred firefish
"Himantura imbricatus (Bloch & Schneider, 1801)",5215895,No common name found
"Oedalechilus labeo (Cuvier, 1829)",2400921,Boxlip mullet
"Acanthurus chirurgus (Bloch, 1787)",5209174,Doctorfish
"Hippocampus kuda Bleeker, 1852",5201037,Common seahorse
"Hippocampus guttulatus Cuvier, 1829",5201064,No common name found
"Galathea strigosa (Linnaeus, 1760)",5178351,Blaustreifen-Springkrebs
"Manta alfredi (Krefft, 1868)",2419160,No common name found
"Dentex dentex (Linnaeus, 1758)",2392679,Common dentex
"Gymnothorax pictus (Ahl, 1789)",2403789,Bar-cheeked eel
"Ctenolabrus rupestris (Linnaeus, 1758)",2383163,Goldsinny
"Pagurus bernhardus (Linnaeus, 1758)",2224231,Hermit Crab
"Entelurus aequoreus (Linnaeus, 1758)",2333112,Ocean pipe-fish
"Syngnathus acus Linnaeus, 1758",2332927,Common pipefish
"Symphodus melops (Linnaeus, 1758)",2383978,Corkwing
"Dicotylichthys punctulatus Kaup, 1855",2406508,Three bar porcupinefish
"Metridium senile (Linnaeus, 1761)",5183974,clonal plumose anemone
"Octopus tetricus Gould, 1852",2289640,Sydney octopus
"Procambarus clarkii (Girard, 1852)",2227300,red swamp crayfish
"Arothron hispidus (Linnaeus, 1758)",2407378,Broadbarred toadfish
"Ceratosoma amoenum (Cheeseman, 1886)",5794856,No common name found
"Heterodontus portusjacksoni (Meyer, 1793)",5215675,Port Jackson shark
"Gadus macrocephalus Tilesius, 1810",2415853,Alaska cod
"Pteromylaeus asperrimus (Gilbert, 1898)",2419152,rough eagle ray
"Stenopus hispidus (Olivier, 1811)",5178716,banded coral shrimp
"Dasyatis longa (Garman, 1880)",2419473,longtail stingray
"Forcipiger flavissimus Jordan & McGregor, 1898",2385706,Forcepsfish
"Sphyraena guachancho Cuvier, 1829",2394232,Barracuda
"Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)",2388415,No common name found
"Abalistes filamentosus Matsuura & Yoshino, 2004",2407223,Starry triggerfish
"Fistularia corneta Gilbert & Starks, 1904",5200930,Deepwater cornetfish
"Sphyraena putnamae Jordan & Seale, 1905",2394217,Chevron barracuda
"Alpheus edwardsii (Andouin, 1826)",2226103,No common name found
"Epinephelus costae (Steindachner, 1878)",2388567,Goldblotch grouper
"Marthasterias glacialis (Linnaeus, 1758)",2274204,Spiny Starfish
"Diplodus sargus (Linnaeus, 1758)",5210968,Blacktail
"Aplysina aerophoba (Nardo, 1833)",2239334,aureate sponge
"Sparisoma cretense (Linnaeus, 1758)",2393905,No common name found
"Epinephelus tauvina (Forsskål, 1775)",2388137,Cod
"Acentronura dendritica (Barbour, 1905)",2332974,pipehorse
"Trachinotus ovatus (Linnaeus, 1758)",5210674,Australian dart
"Sarpa salpa (Linnaeus, 1758)",2392628,Goldline
"Rypticus saponaceus (Bloch & Schneider, 1801)",2387710,Greater soapfish
"Agelas oroides (Schmidt, 1864)",2249185,Maltese sponge
"Pterois radiata Cuvier, 1829",2334440,Clearfin lionfish
"Dendrochirus brachypterus (Cuvier, 1829)",2334536,Dwarf lionfish
"Thalassoma lutescens (Lay & Bennett, 1839)",2384092,Green moon wrasse
"Carangoides fulvoguttatus (Forsskål, 1775)",5210529,Albacore
"Gymnothorax miliaris (Kaup, 1856)",2403816,Goldentail moray
"Coryphoblennius galerita (Linnaeus, 1758)",2395367,Amphibischer Schleimfisch
"Lima lima (Linnaeus, 1758)",2288720,frilled file shell
"Aluterus scriptus (Osbeck, 1765)",2406721,Broom-tail file
"Pagrus pagrus (Linnaeus, 1758)",5210913,Common sea bream
"Chaceon affinis (A.Milne-Edwards & Bouvier, 1894)",2225530,deep-sea red crab
"Gymnura micrura (Bloch & Schneider, 1801)",5216218,Butterfly ray
"Stephanocoenia intersepta (Lamarck, 1816)",2259444,blushing star coral
"Heniochus acuminatus (Linnaeus, 1758)",2385730,Bannerfish
"Scorpaenopsis cirrosa (Thunberg, 1793)",2334749,Weedy stingfish
"Carangoides bajad (Forsskål, 1775)",5210537,Gold-spotted trevally
"Salaria pavo (Risso, 1810)",5211367,No common name found
"Dendronotus frondosus (Ascanius, 1774)",2292071,frond-aeolis
"Pomacanthus arcuatus (Linnaeus, 1758)",2396435,Gray angelfish
"Physalia physalis (Linnaeus, 1758)",2264734,Portuguese man o’ war
"Scorpaenopsis macrochir Ogilby, 1910",2334772,Flasher scorpionfish
"Pseudobalistes naufragium (Jordan & Starks, 1895)",2407179,Blunthead Triggerfish
"Hermodice carunculata (Pallas, 1766)",2317552,bearded fireworm
"Dasyatis pastinaca (Linnaeus, 1758)",2419543,Blue stingray
"Mycteroperca microlepis (Goode & Bean, 1879)",2388994,Charcoal belly
"Lutjanus fulviflamma (Forsskål, 1775)",2384777,Black-spot sea perch
"Taeniura meyeni Müller & Henle, 1841",5215814,"Blotched fantail ray, Round ribbontail ray"
"Nemateleotris magnifica Fowler, 1938",2385839,Fire goby
"Ocyurus chrysurus (Bloch, 1791)",2385282,Cola
"Opisthoteuthis californiana S.S.Berry, 1949",2289248,California flapjack octopus
"Holocentrus adscensionis (Osbeck, 1765)",5204778,No common name found
"Odontodactylus cultrifer (White, 1850)",4649686,No common name found
"Cephalopholis polleni (Bleeker, 1868)",2388849,Harlequin hind
"Millepora alcicornis Linnaeus, 1758",2265089,fire coral
"Pomacanthus imperator (Bloch, 1787)",2396426,Angel fish
